% place,type,population,latitude,longitude
Aberdeen,City,189120,57.14369,-2.09814
Barnsley,Town,91297,53.55,-1.48333
Basildon,Town,107123,51.56844,0.45782
Basingstoke,Town,107355,51.26249,-1.08708
Bath,City,94782,51.37795,-2.35907
Bedford,Town,87590,52.13459,-0.46632
Birkenhead,Town,142968,53.39337,-3.01479
Birmingham,City,1085810,52.48142,-1.89983
Blackburn,Town,117963,53.75,-2.48333
Blackpool,Town,147663,53.81667,-3.05
Bolton,Town,194189,53.58333,-2.43333
Bournemouth,Town,187503,50.72048,-1.8795
Bradford,City,349561,53.79391,-1.75206
Brighton,City,229700,50.82838,-0.13947
Bristol,City,535907,51.45523,-2.59665
Cambridge,City,145818,52.2,0.11667
Cardiff,City,335145,51.48,-3.18
Chelmsford,City,110507,51.73575,0.46958
Cheltenham,Town,116447,51.9,-2.08333
Chester,City,86011,53.1905,-2.89189
Chesterfield,Town,88483,53.25,-1.41667
Colchester,Town,119441,51.88921,0.90421
Coventry,City,325949,52.40656,-1.51217
Crawley,Town,106943,51.11303,-0.18312
Darlington,Town,92363,54.52429,-1.55039
Derby,City,255394,52.92277,-1.47663
Doncaster,Town,109805,53.52327,-1.13691
Dundee,City,144170,56.5,-2.96667
Eastbourne,Town,109185,50.76871,0.28453
Edinburgh,City,468720,55.95206,-3.19648
Exeter,City,113507,50.7236,-3.52751
Gateshead,Town,120046,54.96209,-1.60168
Gillingham,Town,104157,51.38914,0.54863
Glasgow,City,589900,55.86515,-4.25763
Gloucester,City,136362,51.86568,-2.2431
Grimsby,Town,88243,53.56539,-0.07553
Halifax,Town,88134,53.71667,-1.85
Hartlepool,Town,88855,54.68611,-1.2125
Hastings,Town,91053,50.85519,0.57292
Hemel Hempstead,Town,94932,51.75369,-0.47517
High Wycombe,Town,120256,51.62907,-0.74934
Huddersfield,Town,162949,53.64904,-1.78416
Hull,City,284321,53.7446,-0.33525
Ipswich,Town,144957,52.05917,1.15545
Leeds,City,474632,53.79648,-1.54785
Leicester,City,443760,52.6386,-1.13169
Lincoln,City,100160,53.22683,-0.53792
Liverpool,City,552267,53.41058,-2.97794
London,City,8173941,51.50853,-0.12574
Luton,Town,211228,51.87967,-0.41748
Maidstone,Town,107627,51.26667,0.51667
Manchester,City,510746,53.48095,-2.23743
Middlesbrough,Town,174700,54.57623,-1.23483
Milton Keynes,Town,171750,52.04172,-0.75583
Newcastle,City,268064,54.97328,-1.61396
Newport,City,128060,51.58774,-2.99835
Northampton,Town,215173,52.25,-0.88333
Norwich,City,186682,52.62783,1.29834
Nottingham,City,289301,52.9536,-1.15047
Nuneaton,Town,86552,52.52323,-1.46523
Oldham,Town,96555,53.54051,-2.1183
Oxford,City,159994,51.75222,-1.25596
Peterborough,City,161707,52.57364,-0.24777
Plymouth,City,234982,50.37153,-4.14305
Poole,Town,154718,50.71667,-2
Portsmouth,City,238137,50.79899,-1.09125
Preston,City,97886,53.76667,-2.71667
Rayleigh,Town,95580,51.58571,0.60459
Reading,Town,218705,51.45625,-0.97113
Rochdale,Town,107926,53.61766,-2.1552
Rotherham,Town,109691,53.43012,-1.35678
Sale,Town,134022,53.42519,-2.32443
Salford,City,103886,53.48771,-2.29042
Sheffield,City,518090,53.38297,-1.4659
Slough,Town,155298,51.50949,-0.59541
Solihull,Town,123187,52.41426,-1.78094
Southampton,City,253651,50.90395,-1.40428
Southend-on-Sea,Town,175547,51.53782,0.71433
Southport,Town,91703,53.64779,-3.00648
St. Helens,Town,102885,53.45,-2.73333
Stevenage,Town,89663,51.90224,-0.20256
Stockport,Town,105878,53.40979,-2.15761
Stoke-on-Trent,City,270726,53.00415,-2.18538
Sunderland,City,174286,54.90465,-1.38222
Sutton Coldfield,Town,109015,52.56667,-1.81667
Swansea,City,179485,51.62079,-3.94323
Swindon,Town,182441,51.55797,-1.78116
Telford,Town,142723,52.67659,-2.44926
Wakefield,City,99251,53.68331,-1.49768
Warrington,Town,165456,53.39254,-2.58024
Watford,Town,131982,51.65531,-0.39602
West Bromwich,Town,91930,52.51868,-1.9945
Westminster,City,218791,51.50853,-0.12574
Weston-Super-Mare,Town,83641,51.34603,-2.97665
Wigan,Town,103608,53.53333,-2.61667
Woking,Town,105367,51.31903,-0.55893
Wolverhampton,City,265178,52.58547,-2.12296
Worcester,City,100153,52.18935,-2.22001
Worthing,Town,109120,50.81448,-0.37126
York,City,152841,53.95763,-1.08271
